전경련BSI,주택매매가격,건설BSI(전망),"실업률(계절조정,%)",어음부도율,일별수출액YoY,내국인출국자수YoY,코스피 200 변동성지수,통안채 364일,공사채 AAA 3년,은행채 AAA 3년,국고채5년 - CD,국고채10년 - 통안채1년,은행채AAA3년 - 국고채3년,회사채AA-3년 - 국고채3년,내국인출국자수,한국(OECD),GDP서비스업,설비투자,건설투자,재화수출,내수,GDP디플레이터,총저축률,총투자율,Reuter CRB(EW)상품선물지수,Reuter CRB(EW)에너지지수,Reuter CRB(EW)산업지수,Reuter CRB(EW)귀금속지수,코스피지수
105.9,86.43,88.9,4.1,0.03,32.79,2.35,23.29,2.72,4.9,4.91,1.74,2.23,0.64,1.06,828037,9.77,1,7.3,-1.1,2.3,1.6,2.5,32.6,30.8,467.3,732.2,491.9,918,1555.6
103.1,86.59,85.5,3.7,0.02,38.97,37.04,20.59,2.68,4.58,4.62,1.82,2.14,0.52,0.93,863958,8.91,1,7.3,0,-0.6,1.6,3.2,34.3,30.8,481.1,772.2,477,973.5,1682.8
102.3,86.63,74.1,3.6,0.03,39.61,41.56,17.68,2.9,4.23,4.26,1.91,2.03,0.37,0.69,850874,7.82,1.5,4.8,0,-0.6,1.5,3.2,34.3,32.7,458.7,657.9,454.2,941.7,1602.4
116.2,86.64,69.6,3.3,0.03,33.77,22.2,18.27,3.13,4.13,4.12,1.98,1.82,0.51,0.63,932517,6.69,1.5,4.8,0,-0.6,1.5,3.2,34.3,32.7,471.4,661.7,436.5,952.1,1594.6
111.2,86.56,58.4,3.5,0.04,29.59,39.56,24.01,3.14,4.4,4.38,1.75,1.7,0.8,1.08,910832,5.6,1.5,4.8,-0.3,9.6,1.5,3.1,35.6,32.7,499.1,683.9,463.7,931.5,1692.9
113.4,86.52,55.9,3.8,0.03,43.02,30.22,21.9,3.2,4.46,4.47,1.34,1.18,0.61,0.97,1132334,4.64,0.5,4.9,-0.3,9.6,0.1,3.1,35.6,30.6,496.7,639.2,490.7,962,1741.6
108.9,86.6,71.5,3.5,0.04,33.38,42.75,19.26,2.9,4.37,4.34,1.05,1.21,0.54,0.92,1140239,3.79,0.5,4.9,-0.3,9.6,0.1,3.1,35.6,30.6,536.1,706.7,555.8,1044.4,1641.3
107.3,86.78,67.6,3.7,0.03,29.27,39.57,18.79,2.85,4.1,4.07,1.2,1.51,0.52,0.86,923116,3.03,0.5,4.9,-4.2,0.7,0.1,3,35.6,30.6,566.3,717.2,617.2,1092.7,1698.3
100.7,87.12,75.6,3.6,0.02,20.76,24.33,16.77,2.95,3.8,3.77,1.08,1.43,0.45,0.76,963341,2.38,0.7,2.5,-4.2,0.7,0.5,3,35.6,32,566,740.3,605.7,1161.5,1759.3
111.1,87.47,81.3,3.3,0.03,32.78,19.85,18.6,3.11,3.71,3.66,1.28,1.41,0.41,0.7,914754,1.88,0.7,2.5,-4.2,0.7,0.5,3,35.6,32,629.5,813.3,723.8,1234.5,1742.8
113.1,87.88,77.5,3.6,0.02,24.87,60.15,22.76,3.55,3.66,3.61,1.36,1.17,0.42,0.74,928829,1.57,0.7,2.5,-1,5,0.5,3.4,34.4,32,650.8,853.5,777.5,1175.8,1872.8
107.1,88.59,87,3.6,0.01,16.33,52.64,15.83,3.57,3.89,3.85,1.11,1.1,0.47,0.81,1172536,1.46,1.3,0.7,-1,5,1.2,3.4,34.4,33.3,677,918.5,838.2,1274.8,1883
104.2,89.45,80.5,3.8,0.02,20.09,42.89,16.3,3.59,4.36,4.32,0.72,0.89,0.36,0.72,1005722,1.5,1.3,0.7,-1,5,1.2,3.4,34.4,33.3,672.8,984.8,842.4,1327.1,1904.6
101.8,90.19,59.1,3.9,0.02,41.53,15.84,20.06,3.71,4.27,4.24,0.68,0.77,0.4,0.74,777259,1.63,1.3,0.7,1.2,7.7,1.2,2,34.1,33.3,687.7,1052.6,710.7,1501.8,2051
98,90.81,74.6,3.5,0.06,25.62,13.79,16.57,3.58,4.17,4.14,0.41,0.65,0.41,0.77,780352,1.75,0.9,0.3,1.2,7.7,0,2,34.1,33.3,656.4,959.8,717.1,1373.9,2069.7
113.5,91.26,80.4,3.3,0.02,28.8,21.46,18.36,3.7,4.19,4.15,0.44,0.59,0.38,0.72,921976,1.8,0.9,0.3,1.2,7.7,0,2,34.1,33.3,632.2,914.1,639.3,1294.6,1939.3
99.3,91.63,76.8,3.3,0.04,26.13,-10.04,18.56,3.83,4.01,3.98,0.43,0.37,0.39,0.66,962049,1.77,0.9,0.3,-4.2,2.1,0,1,34.1,33.3,645.8,937.4,614,1410.1,2106.7
104.3,92.08,64.1,3.3,0.02,18.95,-8.29,19.24,3.51,4.17,4.14,0.03,0.35,0.38,0.62,1142357,1.66,0.5,4.3,-4.2,2.1,1.5,1,34.1,34.8,661.9,900.9,606.4,1505.1,2192.4
104.3,92.59,74,3.2,0.01,11.15,-1.13,21,3.56,4.24,4.21,0.08,0.39,0.36,0.64,1144471,1.52,0.5,4.3,-4.2,2.1,1.5,1,34.1,34.8,571.4,800.5,510.8,1213.5,2142.5
101.3,92.95,72.2,3.3,0.01,26.25,5.62,28.05,3.58,3.97,3.96,0.06,0.29,0.47,0.84,918725,1.38,0.5,4.3,1.7,1.6,1.5,1.4,34.8,34.8,604.3,879.3,555.7,1318.1,2100.7
98.9,93.32,69,3.2,0.01,25.52,0.89,40.56,3.48,4.03,4,-0.06,0.29,0.45,0.9,932759,1.25,0.5,-1.5,1.7,1.6,-0.3,1.4,34.8,31.2,584.2,900.2,520.6,1291.6,2133.2
96.3,93.48,70.3,3.2,0.02,12.65,0.37,31.02,3.5,4,3.97,-0.09,0.29,0.46,0.9,879791,1.13,0.5,-1.5,1.7,1.6,-0.3,1.4,34.8,31.2,563,895.3,513.5,1139.3,1880.1
101.4,93.62,64,3.2,0.02,12.33,-0.48,29.04,3.45,3.77,3.76,-0.05,0.32,0.38,0.71,921723,1,0.5,-1.5,-0.9,-0.5,-0.3,1.9,35.2,31.2,589,934.3,547.5,1302.8,1769.7
96.4,93.78,64.4,3.3,0.02,11.52,-3.17,26.4,3.47,3.77,3.74,0.01,0.35,0.4,0.76,1099531,0.88,0.6,-4.6,-0.9,-0.5,0.1,1.9,35.2,32.3,600.3,1005.2,543.7,1341.5,1909
94.8,93.92,73.7,3.5,0.01,8.15,-3.82,23.36,3.53,3.77,3.74,0.15,0.43,0.36,0.67,1054817,0.81,0.6,-4.6,-0.9,-0.5,0.1,1.9,35.2,32.3,572.9,997.4,547.7,1290.3,1847.5
88.3,94.02,81.7,3.3,0.01,-3.13,-0.77,19.4,3.47,3.79,3.76,0.02,0.34,0.31,0.63,919070,0.81,0.6,-4.6,2.6,0.2,0.1,2.3,34.3,32.3,558.2,985.3,530.9,1249.4,1825.7
91,94.07,74.5,3.3,0.02,-0.54,-6.23,17.56,3.32,3.88,3.84,-0.11,0.37,0.29,0.58,919446,0.91,1,13.1,2.6,0.2,1.9,2.3,34.3,33.5,508.8,834.5,446.8,1139.9,1955.8
106.1,94.04,72.6,3.2,0.01,0.59,4.88,17.31,3.29,3.76,3.72,-0.12,0.33,0.27,0.52,990943,1.13,1,13.1,2.6,0.2,1.9,2.3,34.3,33.5,539.7,816,458.5,1156.9,2030.3
98.4,93.93,73.7,3.2,0.02,1.44,18.25,22.69,2.83,3.64,3.59,-0.23,0.31,0.27,0.49,1006344,1.42,1,13.1,-3.9,1.9,1.9,1.5,34.8,33.5,560.9,853.6,453,1153.7,2014
104.7,93.83,64.3,3.1,0.02,-7.29,17.82,20.03,2.82,3.66,3.63,-0.3,0.2,0.33,0.56,1193939,1.76,0.7,-8.4,-3.9,1.9,-1.5,1.5,34.8,31.8,576.9,939.6,473.6,1251.6,1982
98.3,93.69,66.6,3.1,0.02,3.15,7.48,20.32,2.84,3.08,3.08,-0.22,0.18,0.23,0.5,1220217,2.12,0.7,-8.4,-3.9,1.9,-1.5,1.5,34.8,31.8,580.2,920.9,472.8,1350.1,1843.5
89.7,93.59,74.7,3.2,0.02,-10.65,4.6,20.35,2.78,2.98,2.98,-0.01,0.18,0.22,0.44,952772,2.46,0.7,-8.4,-3.4,3.4,-1.5,0.9,33.8,31.8,563.9,865.2,456.1,1282,1854
82.7,93.52,66.3,3.1,0.02,-6,4.52,17.23,2.85,3,3,0.06,0.18,0.21,0.47,1044689,2.8,0.3,-2.8,-3.4,3.4,0.8,0.9,33.8,29.4,571.2,889,475.9,1300.1,1882
99.5,93.45,63,3.1,0.03,-2.36,6.62,18.37,2.78,2.96,2.95,0.08,0.38,0.18,0.43,1012696,3.14,0.3,-2.8,-3.4,3.4,0.8,0.9,33.8,29.4,554.6,900.3,480.2,1233.9,1905.1
97,93.4,65.6,3.1,0.02,-1.18,3.71,14.87,2.75,3.01,3,0.05,0.35,0.16,0.39,1059678,3.46,0.3,-2.8,1,0.5,0.8,-0.3,33.9,29.4,569.1,957.1,510,1280.3,1996.2
92.5,93.35,77.2,3.2,0.02,3.9,12,15.89,2.64,3.05,3.04,-0.08,0.3,0.22,0.48,1314026,3.71,0.7,-4.6,1,0.5,-0.3,-0.3,33.9,28.6,550.1,918,504.1,1195.3,1912.1
82,93.3,67.1,3.3,0.01,7.11,15.11,15.18,2.57,2.93,2.91,-0.23,0.23,0.15,0.35,1082337,3.89,0.7,-4.6,1,0.5,-0.3,-0.3,33.9,28.6,551.9,939.8,504.6,1196.2,1932.9
85.7,93.31,70.8,3.1,0.02,1.62,14.97,15.19,2.57,2.81,2.79,-0.25,0.2,0.16,0.34,1005139,3.98,0.7,-4.6,0.2,0.8,-0.3,0.5,34.1,28.6,541.8,879.6,481.4,1088.3,1997.1
86.7,93.29,64.4,3,0.02,2.54,19.51,14.34,2.66,2.73,2.71,0.21,0.46,0.19,0.36,989461,4.04,0.6,3.2,0.2,0.8,1.1,0.5,34.1,29.4,528.1,863.2,471.6,1028.9,1961.9
104.4,93.26,75,3.1,0.02,4.41,2.61,14.74,2.69,2.71,2.68,0.45,0.71,0.19,0.36,1075060,4.09,0.6,3.2,0.2,0.8,1.1,0.5,34.1,29.4,500.4,876.3,461.5,915.5,2026.5
101.5,93.25,65.4,3.1,0.01,-8.21,9.36,14.16,2.69,2.96,2.93,0.54,0.8,0.15,0.34,1112324,4.13,0.6,3.2,3.5,1.1,1.1,1,34.5,29.4,508.2,942,469.3,960.1,2004.9
99.8,93.22,60.9,3.2,0.02,0.91,7.61,17.11,2.66,3.19,3.17,0.51,0.87,0.29,0.46,1301158,4.15,1.2,0.9,3.5,1.1,1.3,1,34.5,28.3,523.6,956.9,474.1,1064,1964
97.2,93.26,69.4,3.1,0.01,3.6,8.49,16.26,2.67,3.16,3.15,0.39,0.75,0.23,0.42,1286975,4.13,1.2,0.9,3.5,1.1,1.3,1,34.5,28.3,517.1,897.3,491.9,992.6,2001.1
90.7,93.45,69.7,3,0.04,-1.5,10.53,15.73,2.66,3.09,3.08,0.4,0.74,0.2,0.38,1083619,4.08,1.2,0.9,4.3,0,1.3,1.4,34.4,28.3,508.1,881.6,464.5,1002.5,1863.3
92.7,93.62,64.1,3.1,0.04,9.88,8.98,15.38,2.72,3.07,3.05,0.7,0.95,0.23,0.44,1128991,4.01,0.7,3.5,4.3,0,0.9,1.4,34.4,28.9,509.2,890.3,461.6,937.5,1914
94.4,93.8,66.5,3.1,0.02,8.15,5.47,14.41,2.69,3.09,3.08,0.57,0.9,0.26,0.47,1049867,3.9,0.7,3.5,4.3,0,0.9,1.4,34.4,28.9,508.1,924,489.2,916.1,1926.4
101.1,93.9,59.8,3.2,0.02,7.21,13.73,14.42,2.67,3.26,3.24,0.57,0.95,0.23,0.45,1096340,3.79,0.7,3.5,-1,1.1,0.9,0.5,34.3,28.9,515,898.5,479.2,922.1,1997
94.7,94.06,70.6,3.3,0.02,2.34,8.07,12.84,2.66,3.14,3.14,0.48,0.84,0.28,0.51,1356890,3.68,0.8,3.7,-1,1.1,0.6,0.5,34.3,29.3,550.1,934.1,481,991.6,2030.1
92.6,94.32,75.5,3.7,0.02,-0.05,3.67,14.43,2.67,3.1,3.11,0.51,0.85,0.23,0.43,1210850,3.56,0.8,3.7,-1,1.1,0.6,0.5,34.3,29.3,560.4,920.1,486,953,2044.9
93.4,94.52,77.3,3.5,0.01,8.82,3.46,13.49,2.67,3.04,3.04,0.52,0.86,0.19,0.39,1042379,3.42,0.8,3.7,-2.4,0.5,0.6,1.3,34.1,29.3,566.5,918.4,473.7,947.9,2011.3
88.7,94.58,73.7,3.6,0.03,-3.34,3.26,13.82,2.66,3.07,3.06,0.39,0.68,0.19,0.36,1072338,3.23,0.9,-0.8,-2.4,0.5,0.8,1.3,34.1,29.2,548,921.3,461.8,932.8,1941.2
104.4,94.64,78.8,3.6,0.02,1.45,11.87,11.6,2.6,3.06,3.06,0.23,0.57,0.19,0.35,1107938,2.99,0.9,-0.8,-2.4,0.5,0.8,1.3,34.1,29.2,544.7,944.6,445.5,997.1,1980
99.5,94.73,79.7,3.5,0.02,8.9,3.7,10.86,2.42,2.99,2.99,0.11,0.63,0.17,0.33,1157098,2.76,0.9,-0.8,3.4,0.4,0.8,0.3,34.5,29.2,520.2,887.9,413.2,973.2,1985.6
101.7,94.86,76.1,3.5,0.02,5.05,8.38,11.48,2.35,2.86,2.86,0.34,0.68,0.17,0.32,1337050,2.57,0.4,1.6,3.4,0.4,0.1,0.3,34.5,29,516.8,868.8,420.1,950.6,1961.8
94.5,95.12,88.5,3.5,0.03,4.87,3.06,12.69,2.21,2.69,2.7,0.15,0.64,0.18,0.34,1426129,2.49,0.4,1.6,3.4,0.4,0.1,0.3,34.5,29,489.2,812.4,391.3,864.3,1995
94,95.4,81.8,3.5,0.02,5.18,4.03,10.86,2.08,2.68,2.68,0.15,0.56,0.17,0.33,1208892,2.53,0.4,1.6,0.4,-1.6,0.1,0.1,34.4,29,483,737.6,402.3,824.4,2002.2
91.6,95.59,83.8,3.6,0.02,3.99,2.76,12.69,2.01,2.44,2.45,0.1,0.58,0.16,0.31,1312634,2.67,1.1,0.1,0.4,-1.6,0.7,0.1,34.4,30.1,473,629.9,379.3,810.2,2076.1
93.1,95.77,76.6,3.5,0.01,1.2,10.81,13.99,2.09,2.29,2.3,0.15,0.51,0.16,0.3,1178883,2.89,1.1,0.1,0.4,-1.6,0.7,0.1,34.4,30.1,447.4,523.8,378.3,812.7,2068.5
100.7,95.9,82,3.6,0.02,2.28,11.56,11.59,1.96,2.22,2.23,-0.07,0.28,0.16,0.3,1315007,3.13,1.1,0.1,-0.1,-0.2,0.7,0.7,35,30.1,429.9,500.4,353.5,868.5,2020.1
93.6,96.11,79.7,3.6,0.02,1.61,16.27,12.97,2,2.28,2.28,0,0.35,0.19,0.34,1715140,3.38,0.7,3.2,-0.1,-0.2,-0.2,0.7,35,28.9,434.1,576.1,382.3,830.2,1964.4
94,96.51,95.9,3.7,0.01,-1.21,12.29,13.67,1.72,2.07,2.09,-0.05,0.45,0.12,0.29,1338233,3.57,0.7,3.2,-0.1,-0.2,-0.2,0.7,35,28.9,417.2,520.3,380.6,814.3,1980.8
90.3,96.99,103.2,3.6,0.04,-7.32,19.95,11.11,1.76,2.12,2.13,0.24,0.65,0.1,0.25,1301602,3.7,0.7,3.2,-4.9,-0.3,-0.2,2,36.4,28.9,428.8,609.6,402.6,805.8,1915.6
92.1,97.35,101.2,3.7,0.03,9.36,26.4,11.09,1.68,1.81,1.82,0.12,0.63,0.1,0.25,1379169,3.79,0.6,0.3,-4.9,-0.3,1.9,2,36.4,28.5,421.1,603.6,383.5,809.7,1949.3
103.7,97.8,101.5,3.8,0.01,-8.55,10.52,11.76,1.61,1.96,1.97,0.42,0.84,0.13,0.27,1454584,3.85,0.6,0.3,-4.9,-0.3,1.9,2,36.4,28.5,433.4,590.3,384.5,779.7,1985.8
97.5,98.21,98.2,3.8,0.02,-8.05,24.87,12.59,1.6,1.91,1.91,0.39,0.83,0.16,0.32,1261209,3.89,0.6,0.3,9,0.1,1.9,2.8,35.2,28.5,400.9,489,356.4,725.8,2041
99.4,98.6,99.2,3.7,0.01,-6.9,28.61,14.45,1.6,1.93,1.93,0.3,0.69,0.14,0.31,1564344,3.9,0.3,0.8,9,0.1,0.3,2.8,35.2,28.5,399.8,494.5,350.2,737.4,2127.2
96.4,99.06,96.1,3.6,0.01,-13.02,31.29,13.54,1.53,1.88,1.89,0.13,0.54,0.12,0.31,1712258,3.88,0.3,0.8,9,0.1,0.3,2.8,35.2,28.5,389,447.8,343.7,707.2,2114.8
84.3,99.39,87.7,3.5,0.01,-5.2,9,19.75,1.58,1.84,1.85,0.22,0.53,0.12,0.31,1390125,3.82,0.3,0.8,1.4,-0.3,0.3,2.8,36,28.5,401.1,456.2,349.9,750.3,2074.2
89.6,99.82,88.7,3.5,0,-13.26,17,20.48,1.67,1.69,1.7,0.3,0.58,0.13,0.42,1607900,3.72,1,1.9,1.4,-0.3,1.4,2.8,36,29.4,380,423.8,328.6,669.5,2030.2
95.1,100,86.9,3.5,0.01,-14.56,20.06,14.22,1.63,1.76,1.78,0.14,0.44,0.12,0.45,1505372,3.58,1,1.9,1.4,-0.3,1.4,2.8,36,29.4,379.3,384,337.2,679.7,1941.5
101.2,100.08,78.1,3.5,0.01,-16.03,14.99,14.37,1.55,1.97,1.98,0.05,0.43,0.19,0.55,1655718,3.4,1,1.9,2.1,2.2,1.4,2.1,34.9,29.4,370.4,359.7,326.3,693.8,1962.8
95.9,100.16,79.2,3.5,0.01,-7.04,22.49,14.18,1.46,1.83,1.84,-0.08,0.32,0.17,0.58,1980329,3.18,0.8,0,2.1,2.2,0.7,2.1,34.9,29.3,368.8,363.9,316.9,746.7,2029.5
97.5,100.19,84.4,4,0.01,-14.32,27.69,17.93,1.48,1.71,1.71,-0.06,0.31,0.15,0.51,1752939,2.97,0.8,0,2.1,2.2,0.7,2.1,34.9,29.3,387.8,402.1,326.7,766,1992
93.2,100.23,84.4,3.8,0.01,-16.04,25.91,17.56,1.48,1.6,1.6,-0.06,0.31,0.15,0.49,1444688,2.81,0.8,0,-2.2,-1.6,0.7,1.8,36.3,29.3,409.1,458.5,347.5,841.6,1961.3
86.3,100.3,86.5,3.7,0.01,-17.71,15.46,12.33,1.52,1.59,1.59,0.02,0.29,0.15,0.46,1514926,2.72,0.4,-7,-2.2,-1.6,0.7,1.8,36.3,27.9,411.4,478.6,334.2,771.8,1912.1
98.3,100.39,77.7,3.7,0.01,-8.16,30.99,12.42,1.28,1.59,1.59,-0.07,0.19,0.14,0.44,1527890,2.68,0.4,-7,-2.2,-1.6,0.7,1.8,36.3,27.9,432.9,465.5,343.9,846.8,1916.7
95.7,100.52,81.1,3.6,0.02,-9.23,10.99,11.81,1.25,1.63,1.63,-0.13,0.13,0.14,0.43,1652141,2.7,0.4,-7,7.6,1.9,0.7,1.8,35.9,27.9,420.5,405.5,370.8,914.7,1995.9
102.3,100.64,84.5,3.6,0.01,-6.13,9.84,13.9,1.32,1.39,1.39,0.01,0.16,0.15,0.43,1950754,2.76,0.5,2.6,7.6,1.9,1.3,1.8,35.9,29.2,412.4,434.2,338.2,854,1994.2
94.8,100.78,83.9,3.8,0.01,-0.78,5.04,12.6,1.31,1.34,1.35,-0.09,0.09,0.13,0.38,1934125,2.83,0.5,2.6,7.6,1.9,1.3,1.8,35.9,29.2,418.5,467.7,355.5,858,1983.4
90.5,101.03,82.8,3.9,0.02,-4.82,31,11.56,1.43,1.43,1.44,0.11,0.26,0.13,0.36,1774432,2.91,0.5,2.6,3.1,1.5,1.3,1.5,35.4,29.2,422.5,458.7,357.1,812.2,1970.4
89.5,101.28,75.1,3.8,0.01,-5.95,24.7,14.11,1.6,1.42,1.44,0.38,0.54,0.19,0.41,1737421,2.96,0.6,0.9,3.1,1.5,0.9,1.5,35.4,30.2,419.8,485.9,397.6,751.3,2016.2
95,101.35,77.2,3.6,0.01,0.76,12.96,14.61,1.56,1.63,1.63,0.28,0.51,0.19,0.49,1699422,2.98,0.6,0.9,3.1,1.5,0.9,1.5,35.4,30.2,420.6,536.4,385.2,738.1,2034.7
